filename,n_samples,epoch,time,f1_macro,n_estimators,criterion,max_depth
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-06-data,500,4,98.931001663208,0.7759339426006092,670,entropy,30
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-06-data,500,5,50.19642925262451,0.6602453102453102,230,log_loss,60
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-06-data,1000,0,330.78620529174805,0.7417761707381603,450,gini,30
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-06-data,1000,1,174.40819573402405,0.7272509003601441,230,log_loss,60
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-06-data,1000,2,231.82985258102417,0.7413590309733601,10,entropy,90
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-06-data,1000,3,182.4351172447205,0.7686709836571076,450,gini,30
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-06-data,1000,4,218.12164187431333,0.7626984126984127,670,log_loss,60
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-06-data,1000,5,76.8565616607666,0.6567909055713934,230,gini,30
src3/319_models/2025-06-09-FacebookAI/roberta-base-0.0001-data,500,0,128.32284092903137,0.7457917216255261,560,entropy,30
src3/319_models/2025-06-09-FacebookAI/roberta-base-0.0001-data,500,1,69.59101057052612,0.734588140052621,560,entropy,90
src3/319_models/2025-06-09-FacebookAI/roberta-base-0.0001-data,500,2,79.29068493843079,0.7056409246125558,120,log_loss,90
src3/319_models/2025-06-09-FacebookAI/roberta-base-0.0001-data,500,3,56.88794732093811,0.6880971279066349,560,log_loss,30
src3/319_models/2025-06-09-FacebookAI/roberta-base-0.0001-data,500,4,56.32402038574219,0.6672175061309188,10,log_loss,90
src3/319_models/2025-06-09-FacebookAI/roberta-base-0.0001-data,500,5,116.48177337646484,0.7571059431524546,340,gini,60
src3/319_models/2025-06-09-FacebookAI/roberta-base-0.0001-data,1000,0,240.950211763382,0.7819166543415946,780,gini,60
src3/319_models/2025-06-09-FacebookAI/roberta-base-0.0001-data,1000,1,118.0876796245575,0.7031613883891842,230,gini,60
src3/319_models/2025-06-09-FacebookAI/roberta-base-0.0001-data,1000,2,139.44924426078796,0.7775878442545109,10,entropy,30
src3/319_models/2025-06-09-FacebookAI/roberta-base-0.0001-data,1000,3,156.816734790802,0.6444584171696848,560,entropy,60
src3/319_models/2025-06-09-FacebookAI/roberta-base-0.0001-data,1000,4,103.53877711296082,0.653424178895877,450,entropy,60
src3/319_models/2025-06-09-FacebookAI/roberta-base-0.0001-data,1000,5,147.2553038597107,0.7663224121557454,10,gini,30
src3/319_models/2025-06-09-FacebookAI/roberta-base-0.0001-data,500,0,72.07801842689514,0.7227041963884068,670,entropy,60
src3/319_models/2025-06-09-FacebookAI/roberta-base-0.0001-data,500,1,88.03462505340576,0.7950142575770939,450,log_loss,30
src3/319_models/2025-06-09-FacebookAI/roberta-base-0.0001-data,500,2,68.61476707458496,0.7439474906258013,890,gini,60
src3/319_models/2025-06-09-FacebookAI/roberta-base-0.0001-data,500,3,79.0109236240387,0.7330538085255066,120,entropy,60
src3/319_models/2025-06-09-FacebookAI/roberta-base-0.0001-data,500,4,149.41258597373962,0.6571116571116571,450,log_loss,60
