,Unnamed: 0,filename,n_samples,epoch,time,f1_macro,hidden_layer_sizes,max_iter,early_stopping,iteration
102,102,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,1000,0,0.1119327545166015,0.5459492226501211,(),1000,True,2.0
103,103,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,1000,1,0.1428649425506591,0.604493918779633,(),1000,True,2.0
104,104,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,1000,2,0.0742058753967285,0.553202614379085,(),1000,True,2.0
105,105,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,1000,3,0.1215074062347412,0.6274628369866465,(),1000,True,2.0
106,106,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,1000,4,0.0331852436065673,0.6234079929732103,(),1000,True,2.0
107,107,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,1000,5,0.058683156967163,0.6102507531078959,(),1000,True,2.0
108,108,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,1500,0,0.2077953815460205,0.6489266644873052,(),1000,True,2.0
109,109,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,1500,1,0.2065234184265136,0.6530605099332648,(),1000,True,2.0
110,110,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,1500,2,0.2721049785614013,0.5892857142857143,(),1000,True,2.0
111,111,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,1500,3,0.1657829284667968,0.7450980392156863,(),1000,True,2.0
112,112,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,1500,4,0.2730131149291992,0.7302229933808881,(),1000,True,2.0
113,113,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,1500,5,0.226140022277832,0.5545868945868946,(),1000,True,2.0
114,114,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,2000,0,0.104668378829956,0.6271201814058956,(),1000,True,2.0
115,115,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,2000,1,0.2716083526611328,0.5950047378618808,(),1000,True,2.0
116,116,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,2000,2,0.0911476612091064,0.6102507531078959,(),1000,True,2.0
117,117,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,2000,3,0.4437029361724853,0.7036715395378009,(),1000,True,2.0
118,118,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,2000,4,0.3068189620971679,0.5764415664508172,(),1000,True,2.0
119,119,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,2000,5,0.1801075935363769,0.603095238095238,(),1000,True,2.0
120,120,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,500,0,0.0794644355773925,0.5088820964935992,(),1000,True,3.0
121,121,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,500,1,0.0464222431182861,0.5772397891963109,(),1000,True,3.0
122,122,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,500,2,0.0393879413604736,0.4647314310847215,(),1000,True,3.0
123,123,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,500,3,0.02714204788208,0.4782913165266106,(),1000,True,3.0
124,124,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,500,4,0.051762580871582,0.62568013277032,(),1000,True,3.0
125,125,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,500,5,0.0330934524536132,0.7395192526771476,(),1000,True,3.0
126,126,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,1000,0,0.1450982093811035,0.5832722674827938,(),1000,True,3.0
127,127,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,1000,1,0.1937272548675537,0.6036690433749258,(),1000,True,3.0
128,128,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,1000,2,0.1250100135803222,0.4873134276381314,(),1000,True,3.0
129,129,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,1000,3,0.1595003604888916,0.6670068027210885,(),1000,True,3.0
