,filename,n_samples,epoch,time,f1_macro,n_neighbors,metric,iteration
144,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,500,4,1.4247386455535889,0.573629713198402,16,l1,1.0
145,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,500,4,1.3426108360290527,0.5952131159037162,12,l1,2.0
146,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,500,4,1.4338984489440918,0.6023376288184651,14,l1,3.0
147,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,1000,4,2.756819486618042,0.6621759882629448,13,l1,1.0
148,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,1000,4,4.142845153808594,0.5502295931743785,19,cosine,2.0
149,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,1000,4,2.38450026512146,0.5705533812259547,18,l1,3.0
150,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,1500,4,3.873824834823608,0.6282059778646696,19,cosine,1.0
151,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,1500,4,3.958487033843994,0.5906497242312582,12,l1,2.0
152,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,1500,4,2.7013394832611084,0.591770858970204,16,cosine,3.0
153,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,500,5,1.2117979526519775,0.6626084065279433,15,l1,1.0
154,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,500,5,1.3945393562316897,0.6489154692183969,18,l1,2.0
155,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,500,5,1.6869664192199707,0.6151904129059619,16,cosine,3.0
156,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,1000,5,2.2485673427581787,0.5500596625596625,7,l1,1.0
157,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,1000,5,2.3973946571350098,0.5562926058904238,13,cosine,2.0
158,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,1000,5,3.043271541595459,0.5856301596546208,11,cosine,3.0
159,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,1500,5,3.2952029705047607,0.6036695338512764,5,l2,1.0
160,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,1500,5,2.753968477249145,0.618974048738114,11,cosine,2.0
161,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,1500,5,2.846750497817993,0.5496585064005878,16,cosine,3.0
162,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,500,0,1.2850327491760254,0.4749802196448537,19,cosine,1.0
163,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,500,0,1.4172375202178955,0.5369651187446989,18,l2,2.0
164,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,500,0,2.2721471786499023,0.5473782251073658,11,l2,3.0
165,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,1000,0,2.619415760040283,0.4380739415623136,3,l2,1.0
166,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,1000,0,2.4751553535461426,0.476326946680813,4,l2,2.0
167,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,1000,0,3.172816038131714,0.4883186397948021,7,cosine,3.0
168,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,1500,0,3.274878740310669,0.4397576450380505,2,cosine,1.0
169,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,1500,0,3.485143184661865,0.4360682467772692,5,l2,2.0
170,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,1500,0,3.2303333282470703,0.482495126705653,9,cosine,3.0
171,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,500,1,1.4134621620178225,0.5644816832236601,15,l1,1.0
172,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,500,1,1.831336498260498,0.4516952617354375,4,cosine,2.0
173,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,500,1,1.2702903747558594,0.4613749954130123,14,l1,3.0
