path,n_samples,epoch,time,score,n_estimators,criterion,max_depth,iteration,embedding_model,learning_rate,classifier,weight_decay,warmup_ratio,optim,n_optim_iterations,measure,n_neighbors,metric,hidden_layer_sizes,max_iter,early_stopping
src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1000,0,284.9168441295624,0.6137739792645324,260.0,log_loss,60.0,3,FacebookAI/roberta-base,2e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1500,0,309.2007863521576,0.560699747378434,260.0,log_loss,30.0,1,FacebookAI/roberta-base,2e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1500,0,587.1641576290131,0.6940723019670388,560.0,log_loss,90.0,2,FacebookAI/roberta-base,2e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1500,0,628.0688796043396,0.613993993993994,660.0,gini,30.0,3,FacebookAI/roberta-base,2e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,2000,0,298.626323223114,0.5956352983148503,360.0,gini,60.0,1,FacebookAI/roberta-base,2e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,2000,0,566.1245787143707,0.618176554269613,910.0,gini,60.0,2,FacebookAI/roberta-base,2e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,2000,0,567.7176587581635,0.6190476190476191,310.0,entropy,90.0,3,FacebookAI/roberta-base,2e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,500,1,219.83818912506104,0.6777371981781658,710.0,gini,60.0,1,FacebookAI/roberta-base,2e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,500,1,89.40257048606873,0.6043976482198249,310.0,gini,30.0,2,FacebookAI/roberta-base,2e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,500,1,100.21211671829224,0.6012696898951179,360.0,log_loss,60.0,3,FacebookAI/roberta-base,2e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
